sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated
0,0,0,7,16376,7.0,16384,1
1,9,0,11,16369,1.1,16384,4
2,18,0,19,16358,1.0,16384,7
3,27,0,37,16337,1.3214285714285714,16384,10
4,36,0,59,16308,1.5945945945945945,16384,17
5,45,0,84,16282,1.826086956521739,16384,18
6,54,0,106,16258,1.9272727272727272,16384,20
7,63,0,128,16233,2.0,16384,23
8,72,0,151,16207,2.0684931506849313,16384,26
9,81,0,160,16193,1.951219512195122,16384,31
10,90,1,180,16171,1.989010989010989,16384,32
11,99,7,195,16146,2.02,16384,36
12,108,11,206,16130,1.9908256880733946,16384,37
13,117,19,214,16112,1.9745762711864407,16384,39
14,126,37,209,16098,1.937007874015748,16384,40
15,135,59,203,16080,1.9264705882352942,16384,42
16,144,84,197,16058,1.9379310344827587,16384,45
17,153,106,196,16034,1.9610389610389611,16384,48
18,162,128,209,15996,2.067484662576687,16384,51
19,171,151,209,15971,2.0930232558139537,16384,53
20,180,160,222,15948,2.110497237569061,16384,54
21,189,181,223,15926,2.126315789473684,16384,54
22,198,202,232,15896,2.180904522613065,16384,54
23,207,217,246,15866,2.2259615384615383,16384,55
24,216,233,253,15843,2.23963133640553,16384,55
25,225,246,268,15815,2.274336283185841,16384,55
26,234,262,278,15787,2.297872340425532,16384,57
27,243,281,297,15749,2.3688524590163933,16384,57
28,252,302,314,15708,2.4347826086956523,16384,60
29,261,337,309,15675,2.4656488549618323,16384,63
30,270,360,339,15621,2.5793357933579335,16384,64
31,279,382,370,15566,2.6857142857142855,16384,66
32,288,404,394,15518,2.7612456747404845,16384,68
33,297,434,411,15470,2.835570469798658,16384,69
34,306,463,427,15422,2.8990228013029316,16384,72
35,315,486,443,15382,2.939873417721519,16384,73
36,324,514,465,15331,3.0123076923076924,16384,74
37,333,540,491,15279,3.086826347305389,16384,74
38,342,578,508,15223,3.1661807580174925,16384,75
39,351,616,515,15175,3.2130681818181817,16384,78
40,360,646,521,15135,3.2326869806094183,16384,82
41,369,699,503,15099,3.2486486486486488,16384,83
42,378,752,497,15048,3.295514511873351,16384,87
43,387,798,487,15012,3.3118556701030926,16384,87
44,396,845,476,14974,3.327455919395466,16384,89
45,405,890,473,14929,3.357142857142857,16384,92
46,414,929,487,14872,3.4120481927710844,16384,96
47,423,979,499,14808,3.4858490566037736,16384,98
48,432,1031,511,14739,3.561200923787529,16384,103
49,441,1086,512,14682,3.6153846153846154,16384,104
50,450,1131,534,14613,3.6917960088691797,16384,106
51,459,1167,561,14548,3.756521739130435,16384,108
52,468,1202,605,14469,3.8528784648187635,16384,108
53,477,1249,626,14399,3.922594142259414,16384,110
54,486,1285,652,14335,3.97741273100616,16384,112
55,495,1321,681,14269,4.036290322580645,16384,113
56,504,1363,699,14206,4.083168316831683,16384,116
57,513,1416,699,14152,4.114785992217898,16384,117
58,522,1478,697,14092,4.1586998087954115,16384,117
59,531,1542,694,14030,4.203007518796992,16384,118
60,540,1598,708,13960,4.262476894639557,16384,118
61,549,1665,709,13892,4.316363636363636,16384,118
62,558,1728,738,13800,4.411449016100179,16384,118
63,567,1807,737,13722,4.47887323943662,16384,118
64,576,1875,744,13647,4.538994800693241,16384,118
65,585,1937,757,13572,4.597269624573379,16384,118
66,594,2002,769,13495,4.6571428571428575,16384,118
67,603,2062,798,13406,4.735099337748345,16384,118
68,612,2115,846,13305,4.830342577487765,16384,118
69,621,2175,880,13210,4.911575562700965,16384,119
70,630,2236,913,13116,4.990491283676704,16384,119
71,639,2306,936,13023,5.065625,16384,119
72,648,2374,950,12941,5.121725731895223,16384,119
73,657,2466,954,12845,5.197568389057751,16384,119
74,666,2544,982,12739,5.286356821589205,16384,119
75,675,2619,1004,12642,5.359467455621302,16384,119
76,684,2694,1017,12552,5.417518248175183,16384,121
77,693,2771,1027,12465,5.472622478386167,16384,121
78,702,2860,1049,12354,5.560455192034139,16384,121
79,711,2961,1046,12256,5.627808988764045,16384,121
80,720,3055,1048,12160,5.690707350901525,16384,121
81,729,3149,1045,12068,5.745205479452054,16384,122
82,738,3242,1049,11967,5.806495263870095,16384,126
83,747,3324,1059,11872,5.859625668449198,16384,129
84,756,3420,1065,11763,5.924702774108322,16384,136
85,765,3526,1057,11660,5.983028720626632,16384,141
86,774,3623,1061,11558,6.0438709677419356,16384,142
87,783,3711,1070,11458,6.098214285714286,16384,145
88,792,3798,1080,11356,6.151324085750315,16384,150
89,801,3909,1075,11246,6.214463840399002,16384,154
90,810,4007,1095,11128,6.290998766954377,16384,154
91,819,4103,1111,11013,6.3585365853658535,16384,157
92,828,4194,1134,10895,6.427020506634499,16384,161
93,837,4291,1161,10767,6.505966587112172,16384,165
94,846,4383,1193,10641,6.58323494687131,16384,167
95,855,4485,1201,10527,6.642523364485982,16384,171
96,864,4583,1212,10416,6.699421965317919,16384,173
97,873,4684,1200,10326,6.732265446224257,16384,174
98,882,4781,1196,10230,6.768969422423556,16384,177
99,891,4878,1202,10124,6.816143497757848,16384,180
100,900,4984,1201,10017,6.864594894561598,16384,182
101,909,5102,1191,9908,6.915384615384616,16384,183
102,918,5214,1203,9783,6.982589771490751,16384,184
103,927,5328,1248,9620,7.086206896551724,16384,188
104,936,5452,1259,9480,7.16221985058698,16384,193
105,945,5576,1270,9341,7.236786469344609,16384,197
106,954,5686,1285,9212,7.299476439790576,16384,201
107,963,5795,1308,9077,7.368257261410788,16384,204
108,972,5884,1331,8962,7.4152106885919835,16384,207
109,981,5977,1343,8854,7.454175152749491,16384,210
110,990,6080,1336,8754,7.48335015136226,16384,214
111,999,6185,1327,8654,7.512,16384,218
112,1008,6293,1321,8551,7.546085232903865,16384,219
113,1017,6417,1311,8435,7.591355599214145,16384,221
114,1026,6576,1298,8287,7.66699123661149,16384,223
115,1035,6711,1311,8138,7.743243243243243,16384,224
116,1044,6846,1305,8006,7.8,16384,227
117,1053,6971,1303,7881,7.850094876660341,16384,229
118,1062,7103,1324,7724,7.927563499529633,16384,233
119,1071,7215,1328,7606,7.969216417910448,16384,235
120,1080,7320,1341,7486,8.012025901942646,16384,237
121,1089,7416,1335,7395,8.028440366972477,16384,238
122,1098,7512,1354,7280,8.067333939945405,16384,238
123,1107,7614,1363,7168,8.101985559566787,16384,239
124,1116,7728,1372,7043,8.146821844225604,16384,241
125,1125,7874,1367,6901,8.206927175843694,16384,242
126,1134,8022,1384,6734,8.287224669603525,16384,244
127,1143,8151,1407,6581,8.354895104895105,16384,245
128,1152,8274,1474,6386,8.454466608846488,16384,250
129,1161,8427,1478,6227,8.524096385542169,16384,252
130,1170,8543,1511,6073,8.585824081981213,16384,257
131,1179,8661,1561,5901,8.662711864406779,16384,261
132,1188,8751,1644,5724,8.742640874684609,16384,265
133,1197,8866,1681,5569,8.803839732888147,16384,268
134,1206,8977,1739,5400,8.878210439105219,16384,268
135,1215,9100,1787,5226,8.953125,16384,271
136,1224,9241,1798,5072,9.01142857142857,16384,273
137,1233,9406,1814,4887,9.092382495948137,16384,277
138,1242,9558,1848,4700,9.176186645213194,16384,278
139,1251,9748,1822,4536,9.241214057507987,16384,278
140,1260,9905,1836,4361,9.31086439333862,16384,282
141,1269,10054,1858,4189,9.379527559055118,16384,283
142,1278,10222,1867,4006,9.451915559030493,16384,289
143,1287,10395,1826,3871,9.488354037267081,16384,292
144,1296,10547,1827,3713,9.540478026214341,16384,297
145,1305,10716,1782,3586,9.56967840735069,16384,300
146,1314,10887,1757,3437,9.615209125475285,16384,303
147,1323,11039,1747,3294,9.657099697885196,16384,304
148,1332,11220,1697,3163,9.690172543135784,16384,304
149,1341,11406,1640,3031,9.721311475409836,16384,307
150,1350,11570,1579,2926,9.73279052553664,16384,309
151,1359,11741,1497,2835,9.733823529411765,16384,311
152,1368,11912,1411,2750,9.731921110299488,16384,311
153,1377,12089,1322,2660,9.7322206095791,16384,313
154,1386,12221,1281,2568,9.73467916366258,16384,314
155,1395,12374,1207,2489,9.728510028653295,16384,314
156,1404,12498,1154,2418,9.716725978647688,16384,314
157,1413,12644,1092,2333,9.714285714285714,16384,315
158,1422,12786,1020,2263,9.702037947997189,16384,315
